Loyalty Number,Loyalty_ID
107375,107375
107385,107385
107420,107420
107438,107438
107466,107466
107477,107477
107483,107483
107487,107487
107491,107491
107503,107503
107514,107514
107519,107519
107520,107520
107539,107539
107573,107573
107574,107574
107593,107593
107615,107615
107617,107617
107633,107633
107639,107639
107643,107643
107649,107649
107658,107658
107708,107708
107727,107727
107730,107730
107778,107778
107780,107780
107807,107807
107821,107821
107835,107835
107845,107845
107851,107851
107854,107854
107861,107861
107868,107868
107902,107902
107923,107923
107965,107965
107978,107978
107993,107993
108022,108022
108042,108042
108053,108053
108054,108054
108055,108055
108085,108085
108086,108086
108116,108116
108134,108134
108141,108141
108147,108147
108148,108148
108170,108170
108187,108187
108262,108262
108264,108264
108268,108268
108272,108272
108278,108278
108293,108293
108326,108326
108346,108346
108360,108360
108367,108367
108381,108381
108384,108384
108430,108430
108440,108440
108441,108441
108459,108459
108462,108462
108466,108466
108481,108481
108486,108486
108491,108491
108528,108528
108531,108531
108570,108570
108601,108601
108604,108604
108625,108625
108654,108654
108666,108666
108736,108736
108748,108748
108801,108801
108844,108844
108857,108857
108875,108875
108896,108896
108901,108901
108903,108903
108912,108912
108923,108923
108940,108940
108950,108950
108952,108952
108954,108954
108959,108959
108960,108960
108970,108970
108981,108981
109022,109022
109023,109023
109029,109029
109042,109042
109048,109048
109062,109062
109097,109097
109108,109108
109110,109110
109151,109151
109156,109156
109167,109167
109203,109203
109209,109209
109229,109229
109327,109327
109356,109356
109379,109379
109386,109386
109431,109431
109458,109458
109473,109473
109478,109478
109495,109495
109509,109509
109531,109531
109552,109552
109556,109556
109585,109585
109587,109587
109606,109606
109660,109660
109672,109672
109680,109680
109734,109734
109738,109738
109747,109747
109766,109766
109767,109767
109789,109789
109821,109821
109840,109840
109854,109854
109876,109876
109880,109880
109903,109903
109939,109939
109956,109956
110001,110001
110027,110027
110030,110030
110065,110065
110073,110073
110089,110089
110107,110107
110125,110125
110170,110170
110191,110191
110207,110207
110211,110211
110217,110217
110221,110221
110262,110262
110337,110337
110394,110394
110429,110429
110451,110451
110476,110476
110484,110484
110508,110508
110514,110514
110549,110549
110603,110603
110606,110606
110640,110640
110678,110678
110681,110681
110712,110712
110726,110726
110737,110737
110742,110742
110752,110752
110756,110756
110771,110771
110782,110782
110822,110822
110906,110906
110908,110908
110925,110925
110991,110991
111034,111034
111051,111051
111107,111107
111185,111185
111194,111194
111198,111198
111228,111228
111255,111255
111257,111257
111261,111261
111281,111281
111286,111286
111291,111291
111300,111300
111301,111301
111303,111303
111329,111329
111387,111387
111426,111426
111452,111452
111463,111463
111468,111468
111485,111485
111493,111493
111504,111504
111507,111507
111548,111548
111549,111549
111573,111573
111574,111574
111584,111584
111588,111588
111590,111590
111591,111591
111601,111601
111645,111645
111646,111646
111660,111660
111673,111673
111690,111690
111697,111697
111724,111724
111767,111767
111768,111768
111787,111787
111788,111788
111789,111789
111855,111855
111881,111881
111892,111892
111912,111912
111919,111919
111944,111944
111947,111947
111976,111976
112026,112026
112046,112046
112130,112130
112149,112149
112226,112226
112269,112269
112277,112277
112287,112287
112293,112293
112327,112327
112341,112341
112350,112350
112363,112363
112447,112447
112467,112467
112508,112508
112522,112522
112540,112540
112545,112545
112586,112586
112630,112630
112634,112634
112661,112661
112676,112676
112685,112685
112686,112686
112702,112702
112703,112703
112709,112709
112714,112714
112720,112720
112732,112732
112733,112733
112766,112766
112794,112794
112797,112797
112804,112804
112856,112856
112863,112863
112872,112872
112934,112934
113022,113022
113040,113040
113106,113106
113172,113172
113178,113178
113180,113180
113184,113184
113194,113194
113195,113195
113211,113211
113220,113220
113253,113253
113261,113261
113293,113293
113311,113311
113316,113316
113348,113348
113363,113363
113376,113376
113398,113398
113407,113407
113442,113442
113469,113469
113476,113476
113529,113529
113558,113558
113578,113578
113585,113585
113594,113594
113656,113656
113675,113675
113719,113719
113755,113755
113779,113779
113782,113782
113812,113812
113831,113831
113853,113853
113864,113864
113904,113904
113910,113910
113919,113919
114008,114008
114018,114018
114021,114021
114038,114038
114056,114056
114084,114084
114101,114101
114123,114123
114131,114131
114135,114135
114136,114136
114142,114142
114194,114194
114204,114204
114219,114219
114249,114249
114259,114259
114261,114261
114279,114279
114307,114307
114311,114311
114393,114393
114414,114414
114451,114451
114475,114475
114488,114488
114493,114493
114510,114510
114553,114553
114583,114583
114589,114589
114592,114592
114606,114606
114637,114637
114657,114657
114678,114678
114700,114700
114710,114710
114727,114727
114743,114743
114753,114753
114760,114760
114764,114764
114802,114802
114835,114835
114846,114846
114857,114857
114858,114858
114862,114862
114903,114903
114927,114927
114943,114943
114945,114945
114955,114955
114958,114958
114970,114970
114983,114983
115000,115000
115052,115052
115145,115145
115188,115188
115196,115196
115198,115198
115208,115208
115226,115226
115280,115280
115281,115281
115319,115319
115322,115322
115386,115386
115397,115397
115403,115403
115405,115405
115417,115417
115427,115427
115493,115493
115505,115505
115512,115512
115522,115522
115529,115529
115560,115560
115585,115585
115606,115606
115633,115633
115634,115634
115648,115648
115673,115673
115675,115675
115705,115705
115707,115707
115721,115721
115736,115736
115749,115749
115776,115776
115804,115804
115805,115805
115852,115852
115920,115920
115926,115926
115930,115930
116007,116007
116016,116016
116022,116022
116024,116024
116054,116054
116126,116126
116128,116128
116129,116129
116132,116132
116135,116135
116151,116151
116164,116164
116166,116166
116172,116172
116207,116207
116238,116238
116240,116240
116244,116244
116254,116254
116273,116273
116286,116286
116288,116288
116311,116311
116332,116332
116333,116333
116344,116344
116372,116372
116384,116384
116388,116388
116390,116390
116423,116423
116562,116562
116573,116573
116579,116579
116658,116658
116703,116703
116732,116732
116735,116735
116739,116739
116773,116773
116779,116779
116789,116789
116821,116821
116855,116855
116895,116895
116921,116921
116928,116928
116932,116932
116948,116948
116999,116999
117002,117002
117007,117007
117033,117033
117036,117036
117053,117053
117096,117096
117102,117102
117104,117104
117107,117107
117131,117131
117140,117140
117156,117156
117169,117169
117193,117193
117201,117201
117219,117219
117228,117228
117240,117240
117257,117257
117284,117284
117306,117306
117325,117325
117327,117327
117333,117333
117342,117342
117351,117351
117358,117358
117389,117389
117408,117408
117418,117418
117460,117460
117471,117471
117482,117482
117488,117488
117517,117517
117561,117561
117573,117573
117576,117576
117603,117603
117618,117618
117658,117658
117686,117686
117692,117692
117722,117722
117725,117725
117751,117751
117754,117754
117761,117761
117770,117770
117782,117782
117802,117802
117887,117887
117903,117903
117910,117910
117915,117915
117932,117932
117983,117983
117984,117984
118015,118015
118030,118030
118051,118051
118076,118076
118104,118104
118140,118140
118223,118223
118236,118236
118251,118251
118261,118261
118279,118279
118298,118298
118320,118320
118332,118332
118334,118334
118355,118355
118365,118365
118379,118379
118418,118418
118421,118421
118422,118422
118424,118424
118427,118427
118507,118507
118511,118511
118514,118514
118547,118547
118570,118570
118595,118595
118628,118628
118668,118668
118675,118675
118688,118688
118693,118693
118729,118729
118730,118730
118734,118734
118738,118738
118752,118752
118762,118762
118772,118772
118789,118789
118809,118809
118817,118817
118846,118846
118870,118870
118877,118877
118917,118917
118935,118935
118967,118967
118971,118971
119009,119009
119015,119015
119034,119034
119112,119112
119133,119133
119135,119135
119188,119188
119200,119200
119212,119212
119284,119284
119306,119306
119346,119346
119425,119425
119460,119460
119469,119469
119472,119472
119489,119489
119519,119519
119541,119541
119589,119589
119596,119596
119624,119624
119633,119633
119634,119634
119635,119635
119651,119651
119678,119678
119690,119690
119692,119692
119731,119731
119737,119737
119753,119753
119767,119767
119783,119783
119832,119832
119845,119845
119851,119851
119859,119859
119880,119880
119910,119910
119917,119917
119925,119925
119935,119935
119997,119997
120019,120019
120041,120041
120046,120046
120066,120066
120128,120128
120137,120137
120140,120140
120163,120163
120182,120182
120191,120191
120192,120192
120206,120206
120234,120234
120247,120247
120248,120248
120306,120306
120308,120308
120348,120348
120352,120352
120393,120393
120397,120397
120413,120413
120419,120419
120434,120434
120454,120454
120466,120466
120472,120472
120475,120475
120508,120508
120527,120527
120551,120551
120565,120565
120589,120589
120594,120594
120610,120610
120635,120635
120649,120649
120669,120669
120755,120755
120776,120776
120788,120788
120793,120793
120805,120805
120820,120820
120860,120860
120866,120866
120868,120868
120923,120923
120927,120927
120956,120956
121006,121006
121011,121011
121045,121045
121067,121067
121068,121068
121072,121072
121090,121090
121091,121091
121095,121095
121104,121104
121105,121105
121108,121108
121139,121139
121158,121158
121178,121178
121183,121183
121203,121203
121209,121209
121236,121236
121244,121244
121257,121257
121294,121294
121305,121305
121326,121326
121347,121347
121351,121351
121358,121358
121371,121371
121403,121403
121410,121410
121469,121469
121483,121483
121546,121546
121557,121557
121605,121605
121710,121710
121737,121737
121744,121744
121751,121751
121765,121765
121773,121773
121776,121776
121786,121786
121834,121834
121856,121856
121858,121858
121919,121919
121929,121929
121930,121930
121935,121935
121953,121953
121999,121999
122009,122009
122018,122018
122020,122020
122049,122049
122061,122061
122078,122078
122090,122090
122093,122093
122094,122094
122132,122132
122166,122166
122173,122173
122206,122206
122207,122207
122208,122208
122227,122227
122248,122248
122276,122276
122283,122283
122301,122301
122357,122357
122361,122361
122372,122372
122456,122456
122471,122471
122496,122496
122497,122497
122517,122517
122519,122519
122561,122561
122577,122577
122579,122579
122592,122592
122631,122631
122653,122653
122659,122659
122685,122685
122705,122705
122710,122710
122738,122738
122756,122756
122762,122762
122764,122764
122771,122771
122797,122797
122858,122858
122870,122870
122885,122885
122890,122890
122902,122902
122909,122909
122916,122916
122937,122937
122946,122946
122958,122958
122967,122967
122969,122969
122976,122976
123021,123021
123047,123047
123058,123058
123060,123060
123083,123083
123089,123089
123094,123094
123100,123100
123115,123115
123182,123182
123186,123186
123223,123223
123237,123237
123252,123252
123263,123263
123307,123307
123315,123315
123330,123330
123344,123344
123345,123345
123352,123352
123370,123370
123385,123385
123393,123393
123401,123401
123405,123405
123420,123420
123423,123423
123468,123468
123474,123474
123525,123525
123531,123531
123538,123538
123552,123552
123583,123583
123586,123586
123610,123610
123641,123641
123667,123667
123668,123668
123689,123689
123702,123702
123717,123717
123727,123727
123741,123741
123760,123760
123773,123773
123784,123784
123830,123830
123883,123883
123894,123894
123928,123928
123936,123936
123941,123941
123944,123944
123997,123997
124006,124006
124014,124014
124038,124038
124056,124056
124085,124085
124088,124088
124122,124122
124136,124136
124170,124170
124173,124173
124190,124190
124195,124195
124207,124207
124223,124223
124229,124229
124241,124241
124289,124289
124327,124327
124342,124342
124355,124355
124426,124426
124435,124435
124472,124472
124495,124495
124510,124510
124514,124514
124530,124530
124536,124536
124571,124571
124624,124624
124633,124633
124656,124656
124663,124663
124678,124678
124716,124716
124761,124761
124799,124799
124828,124828
124872,124872
124890,124890
124897,124897
124904,124904
124931,124931
124965,124965
124987,124987
125004,125004
125019,125019
125025,125025
125033,125033
125038,125038
125041,125041
125059,125059
125068,125068
125073,125073
125085,125085
125088,125088
125109,125109
125118,125118
125130,125130
125136,125136
125180,125180
125209,125209
125265,125265
125288,125288
125300,125300
125316,125316
125323,125323
125393,125393
125395,125395
125413,125413
125417,125417
125436,125436
125455,125455
125472,125472
125493,125493
125529,125529
125536,125536
125606,125606
125657,125657
125664,125664
125665,125665
125668,125668
125672,125672
125676,125676
125679,125679
125699,125699
125720,125720
125756,125756
125823,125823
125835,125835
125853,125853
125879,125879
125881,125881
125919,125919
125923,125923
125969,125969
125997,125997
126019,126019
126052,126052
126063,126063
126100,126100
126141,126141
126181,126181
126183,126183
126216,126216
126239,126239
126262,126262
126272,126272
126299,126299
126300,126300
126308,126308
126320,126320
126331,126331
126342,126342
126424,126424
126466,126466
126515,126515
126526,126526
126544,126544
126561,126561
126577,126577
126581,126581
126583,126583
126631,126631
126637,126637
126644,126644
126652,126652
126661,126661
126712,126712
126765,126765
126840,126840
126873,126873
127052,127052
127105,127105
127122,127122
127127,127127
127137,127137
127152,127152
127175,127175
127204,127204
127241,127241
127302,127302
127311,127311
127350,127350
127359,127359
127377,127377
127393,127393
127410,127410
127415,127415
127432,127432
127440,127440
127450,127450
127469,127469
127477,127477
127484,127484
127496,127496
127540,127540
127589,127589
127590,127590
127625,127625
127627,127627
127677,127677
127706,127706
127732,127732
127762,127762
127785,127785
127819,127819
127823,127823
127824,127824
127827,127827
127870,127870
127893,127893
127916,127916
127931,127931
127933,127933
127946,127946
127965,127965
127985,127985
128007,128007
128032,128032
128039,128039
128072,128072
128087,128087
128105,128105
128134,128134
128154,128154
128213,128213
128214,128214
128239,128239
128245,128245
128280,128280
128319,128319
128325,128325
128333,128333
128345,128345
128360,128360
128405,128405
128409,128409
128452,128452
128453,128453
128459,128459
128467,128467
128475,128475
128520,128520
128541,128541
128548,128548
128570,128570
128572,128572
128587,128587
128608,128608
128611,128611
128615,128615
128622,128622
128625,128625
128632,128632
128633,128633
128711,128711
128721,128721
128742,128742
128749,128749
128753,128753
128754,128754
128760,128760
128789,128789
128790,128790
128802,128802
128817,128817
128832,128832
128868,128868
128869,128869
128887,128887
128902,128902
128909,128909
128945,128945
128950,128950
128961,128961
128975,128975
128998,128998
129030,129030
129033,129033
129049,129049
129071,129071
129099,129099
129105,129105
129137,129137
129171,129171
129176,129176
129206,129206
129219,129219
129220,129220
129233,129233
129241,129241
129328,129328
129364,129364
129390,129390
129395,129395
129409,129409
129414,129414
129422,129422
129428,129428
129434,129434
129446,129446
129453,129453
129495,129495
129506,129506
129510,129510
129515,129515
129533,129533
129548,129548
129554,129554
129555,129555
129586,129586
129589,129589
129692,129692
129696,129696
129742,129742
129743,129743
129766,129766
129778,129778
129807,129807
129817,129817
129827,129827
129838,129838
129872,129872
129883,129883
129909,129909
129914,129914
129931,129931
129932,129932
129939,129939
129961,129961
129970,129970
129973,129973
129976,129976
130023,130023
130032,130032
130037,130037
130065,130065
130077,130077
130086,130086
130122,130122
130152,130152
130159,130159
130172,130172
130173,130173
130320,130320
130331,130331
130364,130364
130368,130368
130419,130419
130421,130421
130434,130434
130438,130438
130439,130439
130443,130443
130452,130452
130458,130458
130461,130461
130462,130462
130497,130497
130548,130548
130564,130564
130567,130567
130593,130593
130595,130595
130602,130602
130707,130707
130725,130725
130727,130727
130737,130737
130772,130772
130775,130775
130823,130823
130860,130860
130883,130883
130884,130884
130895,130895
130953,130953
130965,130965
131017,131017
131036,131036
131047,131047
131049,131049
131052,131052
131090,131090
131098,131098
131108,131108
131145,131145
131155,131155
131165,131165
131222,131222
131223,131223
131234,131234
131245,131245
131253,131253
131257,131257
131273,131273
131279,131279
131321,131321
131326,131326
131342,131342
131369,131369
131380,131380
131393,131393
131438,131438
131449,131449
131455,131455
131463,131463
131469,131469
131494,131494
131536,131536
131558,131558
131560,131560
131591,131591
131599,131599
131631,131631
131664,131664
131673,131673
131680,131680
131711,131711
131715,131715
131717,131717
131721,131721
131723,131723
131728,131728
131761,131761
131762,131762
131772,131772
131786,131786
131788,131788
131799,131799
131815,131815
131817,131817
131875,131875
131893,131893
131897,131897
131909,131909
131920,131920
131930,131930
131956,131956
131966,131966
131990,131990
131994,131994
132025,132025
132037,132037
132040,132040
132045,132045
132118,132118
132127,132127
132151,132151
132155,132155
132167,132167
132174,132174
132188,132188
132192,132192
132209,132209
132229,132229
132240,132240
132250,132250
132265,132265
132294,132294
132296,132296
132311,132311
132317,132317
132319,132319
132337,132337
132386,132386
132447,132447
132464,132464
132467,132467
132499,132499
132535,132535
132552,132552
132559,132559
132579,132579
132592,132592
132614,132614
132677,132677
132697,132697
132705,132705
132750,132750
132756,132756
132774,132774
132787,132787
132807,132807
132827,132827
132837,132837
132868,132868
132874,132874
132884,132884
132914,132914
132916,132916
132928,132928
132949,132949
132969,132969
132999,132999
133039,133039
133065,133065
133096,133096
133111,133111
133128,133128
133142,133142
133166,133166
133201,133201
133209,133209
133227,133227
133241,133241
133253,133253
133283,133283
133308,133308
133324,133324
133428,133428
133429,133429
133435,133435
133457,133457
133463,133463
133466,133466
133468,133468
133542,133542
133559,133559
133608,133608
133622,133622
133661,133661
133667,133667
133698,133698
133702,133702
133730,133730
133799,133799
133805,133805
133821,133821
133854,133854
133859,133859
133897,133897
133930,133930
133937,133937
133956,133956
133960,133960
133985,133985
134000,134000
134003,134003
134008,134008
134012,134012
134013,134013
134044,134044
134072,134072
134085,134085
134099,134099
134152,134152
134169,134169
134174,134174
134176,134176
134193,134193
134199,134199
134202,134202
134208,134208
134238,134238
134241,134241
134269,134269
134273,134273
134279,134279
134281,134281
134309,134309
134336,134336
134397,134397
134429,134429
134455,134455
134468,134468
134470,134470
134479,134479
134494,134494
134497,134497
134510,134510
134534,134534
134551,134551
134559,134559
134575,134575
134579,134579
134598,134598
134600,134600
134622,134622
134669,134669
134670,134670
134689,134689
134693,134693
134714,134714
134738,134738
134744,134744
134760,134760
134784,134784
134795,134795
134827,134827
134838,134838
134847,134847
134857,134857
134890,134890
134967,134967
135016,135016
135058,135058
135068,135068
135069,135069
135072,135072
135075,135075
135076,135076
135077,135077
135083,135083
135084,135084
135097,135097
135107,135107
135134,135134
135184,135184
135238,135238
135250,135250
135257,135257
135279,135279
135297,135297
135302,135302
135312,135312
135324,135324
135341,135341
135392,135392
135418,135418
135421,135421
135435,135435
135460,135460
135462,135462
135483,135483
135490,135490
135524,135524
135554,135554
135578,135578
135582,135582
135586,135586
135599,135599
135649,135649
135671,135671
135712,135712
135728,135728
135841,135841
135872,135872
135878,135878
135919,135919
135953,135953
135957,135957
135962,135962
135965,135965
135973,135973
135977,135977
136013,136013
136020,136020
136022,136022
136031,136031
136035,136035
136047,136047
136049,136049
136065,136065
136071,136071
136084,136084
136086,136086
136089,136089
136105,136105
136106,136106
136121,136121
136126,136126
136138,136138
136146,136146
136169,136169
136175,136175
136178,136178
136188,136188
136194,136194
136230,136230
136253,136253
136261,136261
136263,136263
136334,136334
136335,136335
136338,136338
136339,136339
136345,136345
136374,136374
136386,136386
136397,136397
136464,136464
136473,136473
136479,136479
136485,136485
136491,136491
136516,136516
136547,136547
136551,136551
136552,136552
136607,136607
136608,136608
136637,136637
136670,136670
136672,136672
136715,136715
136783,136783
136823,136823
136825,136825
136826,136826
136841,136841
136879,136879
136899,136899
136906,136906
136949,136949
137001,137001
137040,137040
137067,137067
137079,137079
137083,137083
137100,137100
137102,137102
137127,137127
137133,137133
137143,137143
137161,137161
137163,137163
137184,137184
137191,137191
137196,137196
137201,137201
137209,137209
137222,137222
137227,137227
137230,137230
137275,137275
137301,137301
137303,137303
137315,137315
137383,137383
137404,137404
137421,137421
137441,137441
137458,137458
137470,137470
137476,137476
137529,137529
137535,137535
137557,137557
137558,137558
137635,137635
137638,137638
137641,137641
137643,137643
137646,137646
137676,137676
137696,137696
137700,137700
137744,137744
137750,137750
137751,137751
137764,137764
137774,137774
137785,137785
137804,137804
137845,137845
137850,137850
137852,137852
137869,137869
137885,137885
137886,137886
137893,137893
137902,137902
137908,137908
137918,137918
137944,137944
137958,137958
137968,137968
137973,137973
137999,137999
138025,138025
138033,138033
138052,138052
138053,138053
138083,138083
138102,138102
138118,138118
138136,138136
138227,138227
138230,138230
138264,138264
138296,138296
138321,138321
138333,138333
138340,138340
138369,138369
138421,138421
138448,138448
138449,138449
138475,138475
138480,138480
138484,138484
138515,138515
138565,138565
138569,138569
138590,138590
138610,138610
138614,138614
138635,138635
138653,138653
138684,138684
138737,138737
138746,138746
138751,138751
138756,138756
138768,138768
138777,138777
138810,138810
138839,138839
138840,138840
138873,138873
138884,138884
138890,138890
138894,138894
138896,138896
138908,138908
138973,138973
138981,138981
138993,138993
139022,139022
139023,139023
139024,139024
139029,139029
139036,139036
139048,139048
139067,139067
139087,139087
139100,139100
139117,139117
139182,139182
139204,139204
139219,139219
139270,139270
139295,139295
139320,139320
139331,139331
139338,139338
139356,139356
139358,139358
139379,139379
139394,139394
139408,139408
139409,139409
139465,139465
139471,139471
139479,139479
139503,139503
139511,139511
139518,139518
139532,139532
139573,139573
139581,139581
139591,139591
139592,139592
139604,139604
139665,139665
139682,139682
139694,139694
139699,139699
139731,139731
139762,139762
139849,139849
139854,139854
139863,139863
139875,139875
139889,139889
139890,139890
139919,139919
139932,139932
139949,139949
139958,139958
139968,139968
139974,139974
140020,140020
140042,140042
140077,140077
140079,140079
140130,140130
140191,140191
140208,140208
140223,140223
140275,140275
140290,140290
140310,140310
140375,140375
140377,140377
140381,140381
140391,140391
140392,140392
140419,140419
140432,140432
140476,140476
140477,140477
140480,140480
140483,140483
140505,140505
140512,140512
140520,140520
140523,140523
140534,140534
140544,140544
140557,140557
140582,140582
140601,140601
140619,140619
140662,140662
140674,140674
140682,140682
140710,140710
140735,140735
140753,140753
140768,140768
140769,140769
140823,140823
140834,140834
140836,140836
140891,140891
140920,140920
140935,140935
140963,140963
140976,140976
141023,141023
141032,141032
141035,141035
141047,141047
141057,141057
141068,141068
141074,141074
141116,141116
141126,141126
141133,141133
141139,141139
141152,141152
141158,141158
141161,141161
141174,141174
141181,141181
141188,141188
141207,141207
141208,141208
141238,141238
141252,141252
141266,141266
141288,141288
141299,141299
141337,141337
141346,141346
141363,141363
141378,141378
141421,141421
141425,141425
141435,141435
141448,141448
141456,141456
141497,141497
141503,141503
141521,141521
141522,141522
141542,141542
141587,141587
141596,141596
141598,141598
141599,141599
141614,141614
141648,141648
141649,141649
141655,141655
141668,141668
141703,141703
141745,141745
141747,141747
141758,141758
141763,141763
141844,141844
141877,141877
141884,141884
141888,141888
141924,141924
141945,141945
141962,141962
141979,141979
142010,142010
142016,142016
142044,142044
142047,142047
142122,142122
142147,142147
142158,142158
142171,142171
142190,142190
142206,142206
142209,142209
142225,142225
142246,142246
142283,142283
142285,142285
142307,142307
142323,142323
142326,142326
142331,142331
142354,142354
142371,142371
142378,142378
142397,142397
142434,142434
142451,142451
142457,142457
142487,142487
142493,142493
142511,142511
142542,142542
142545,142545
142621,142621
142649,142649
142650,142650
142673,142673
142676,142676
142686,142686
142691,142691
142707,142707
142715,142715
142716,142716
142717,142717
142726,142726
142745,142745
142749,142749
142800,142800
142812,142812
142819,142819
142821,142821
142851,142851
142855,142855
142869,142869
142871,142871
142872,142872
142906,142906
142925,142925
142950,142950
142962,142962
143007,143007
143056,143056
143060,143060
143063,143063
143076,143076
143087,143087
143193,143193
143202,143202
143215,143215
143266,143266
143289,143289
143298,143298
143316,143316
143353,143353
143359,143359
143368,143368
143375,143375
143389,143389
143422,143422
143433,143433
143437,143437
143463,143463
143466,143466
143471,143471
143488,143488
143501,143501
143529,143529
143565,143565
143567,143567
143584,143584
143667,143667
143676,143676
143715,143715
143726,143726
143730,143730
143768,143768
143784,143784
143791,143791
143800,143800
143835,143835
143853,143853
143900,143900
143906,143906
143981,143981
143991,143991
143996,143996
144014,144014
144047,144047
